Timestamp,Packet Length,Protocol,Gap,Label
1769957235.440967,1292,2,0,0
1769957235.441131,1292,2,0,0
1769957235.441375,1292,2,0,0
1769957235.441844,81,2,0,0
1769957235.443428,1292,2,0,0
1769957235.443428,1288,2,0,0
1769957235.443873,1292,2,0,0
1769957235.443873,1292,2,0,0
1769957235.443873,1292,2,0,0
1769957235.443986,1292,2,0,0
1769957235.444471,207,2,0,0
1769957235.444479,1292,2,0,0
1769957235.444558,1292,2,0,0
1769957235.444721,73,2,0,0
1769957235.444814,73,2,0,0
1769957235.444872,73,2,0,0
1769957235.445202,1288,2,0,0
1769957235.445249,1288,2,0,0
1769957235.44529,1292,2,0,0
1769957235.445312,279,2,0,0
1769957235.446869,1292,2,0,0
1769957235.446869,1292,2,0,0
1769957235.447128,73,2,0,0
1769957235.447263,74,2,0,0
1769957235.449313,1292,2,0,0
1769957235.449313,1292,2,0,0
1769957235.449313,1292,2,0,0
1769957235.450137,66,1,0,0
1769957235.450476,66,1,0,0
1769957235.450715,73,2,0,0
1769957235.450801,74,2,0,0
1769957235.451742,1281,2,0,0
1769957235.454926,1292,2,0,0
1769957235.454926,1292,2,0,0
1769957235.454926,1292,2,0,0
1769957235.454926,1292,2,0,0
1769957235.45553,74,2,0,0
1769957235.455811,74,2,0,0
1769957235.456964,1292,2,0,0
1769957235.456964,1292,2,0,0
1769957235.457279,74,2,0,0
1769957235.458108,1292,2,0,0
1769957235.458219,1292,2,0,0
1769957235.45838,74,2,0,0
1769957235.459585,1292,2,0,0
1769957235.459585,1292,2,0,0
1769957235.459851,74,2,0,0
1769957235.461876,1292,2,0,0
1769957235.461876,1292,2,0,0
1769957235.462278,74,2,0,0
1769957235.463728,1292,2,0,0
1769957235.464058,74,2,0,0
1769957235.465599,1292,2,0,0
1769957235.467622,933,2,0,0
1769957235.468169,79,2,0,0
1769957235.4704,1288,2,0,0
1769957235.4704,1292,2,0,0
1769957235.4704,1292,2,0,0
1769957235.4704,1292,2,0,0
1769957235.471178,79,2,0,0
1769957235.471357,75,2,0,0
1769957235.472699,1292,2,0,0
1769957235.472699,1292,2,0,0
1769957235.472699,1292,2,0,0
1769957235.472699,1292,2,0,0
1769957235.473185,75,2,0,0
1769957235.473399,75,2,0,0
1769957235.479377,1292,2,0,0
1769957235.479377,1292,2,0,0
1769957235.479377,1292,2,0,0
1769957235.479377,1292,2,0,0
1769957235.480078,75,2,0,0
1769957235.480419,75,2,0,0
1769957235.480661,572,2,0,0
1769957235.480661,158,2,0,0
1769957235.480661,66,2,0,0
1769957235.480661,70,2,0,0
1769957235.481259,73,2,0,0
1769957235.481788,1292,2,0,0
1769957235.481788,1292,2,0,0
1769957235.481788,66,1,0,0
1769957235.481788,66,1,0,0
1769957235.481788,633,2,0,0
1769957235.481997,54,1,0,0
1769957235.482037,54,1,0,0
1769957235.482256,75,2,0,0
1769957235.48232,1292,2,0,0
1769957235.48232,1292,2,0,0
1769957235.482472,56,1,0,0
1769957235.482506,98,1,0,0
1769957235.482587,56,1,0,0
1769957235.482614,98,1,0,0
1769957235.482881,77,2,0,0
1769957235.483035,75,2,0,0
1769957235.483469,1292,2,0,0
1769957235.485226,1292,2,0,0
1769957235.485526,75,2,0,0
1769957235.487832,1292,2,0,0
1769957235.487832,1292,2,0,0
1769957235.487832,1292,2,0,0
1769957235.487832,1292,2,0,0
1769957235.488573,75,2,0,0
1769957235.488763,75,2,0,0
1769957235.490287,1292,2,0,0
1769957235.490287,1292,2,0,0
1769957235.490287,1292,2,0,0
1769957235.490287,1292,2,0,0
1769957235.490484,1288,2,0,0
1769957235.490817,75,2,0,0
1769957235.490866,1292,2,0,0
1769957235.490866,1292,2,0,0
1769957235.490866,1292,2,0,0
1769957235.491026,1292,2,0,0
1769957235.495482,1292,2,0,0
1769957235.495482,1292,2,0,0
1769957235.495482,1292,2,0,0
1769957235.495482,1292,2,0,0
1769957235.495482,1292,2,0,0
1769957235.495813,1292,2,0,0
1769957235.495813,1292,2,0,0
1769957235.495813,1292,2,0,0
1769957235.495813,1292,2,0,0
1769957235.495813,1292,2,0,0
1769957235.496196,74,2,0,0
1769957235.496633,73,2,0,0
1769957235.496737,73,2,0,0
1769957235.497609,651,2,0,0
1769957235.498311,1292,2,0,0
1769957235.498311,1292,2,0,0
1769957235.498814,1292,2,0,0
1769957235.498814,1292,2,0,0
1769957235.498814,1292,2,0,0
1769957235.498814,1292,2,0,0
1769957235.499005,75,2,0,0
1769957235.499103,75,2,0,0
1769957235.49915,75,2,0,0
1769957235.499195,75,2,0,0
1769957235.499239,75,2,0,0
1769957235.499286,73,2,0,0
1769957235.504166,1292,2,0,0
1769957235.504166,1292,2,0,0
1769957235.505003,73,2,0,0
1769957235.505706,1292,2,0,0
1769957235.505706,1292,2,0,0
1769957235.505706,1292,2,0,0
1769957235.505907,1292,2,0,0
1769957235.506385,73,2,0,0
1769957235.506738,73,2,0,0
1769957235.506992,1292,2,0,0
1769957235.506992,1292,2,0,0
1769957235.507306,1292,2,0,0
1769957235.507731,73,2,0,0
1769957235.509726,1292,2,0,0
1769957235.509726,1292,2,0,0
1769957235.510101,73,2,0,0
1769957235.511478,54,1,0,0
1769957235.511478,54,1,0,0
1769957235.511478,1292,2,0,0
1769957235.511647,1292,2,0,0
1769957235.511899,73,2,0,0
1769957235.512754,76,2,0,0
